Boards & Toys Co.,3,1,1,new customers
Atelier graphique,2,1,1,lost_customers
Auto-Moto Classics Inc.,3,1,1,new customers
Microscale Inc.,2,1,1,lost_customers
Royale Belge,3,1,1,new customers
"Bavarian Collectables Imports, Co.",1,1,1,lost_customers
"Double Decker Gift Stores, Ltd",1,1,1,lost_customers
Cambridge Collectables Co.,1,1,1,lost_customers
West Coast Collectables Co.,1,1,1,lost_customers
"Men 'R' US Retailers, Ltd.",1,1,1,lost_customers
CAF Imports,1,1,1,lost_customers
Signal Collectibles Ltd.,1,1,1,lost_customers
Mini Auto Werke,3,1,1,new customers
"Iberia Gift Imports, Corp.",1,1,1,lost_customers
Online Mini Collectables,1,1,1,lost_customers
Gift Ideas Corp.,3,1,1,new customers
"Clover Collections, Co.",1,1,1,lost_customers
"Australian Gift Network, Co",3,1,1,new customers
"Australian Collectables, Ltd",4,2,1,NULL
Auto Assoc. & Cie.,1,1,1,lost_customers
"Classic Gift Ideas, Inc",2,2,1,NULL
Osaka Souveniers Co.,1,2,1,lost_customers
Daedalus Designs Imports,1,2,1,lost_customers
Alpha Cognac,4,2,2,active
Diecast Collectables,1,1,2,lost_customers
Quebec Home Shopping Network,4,2,2,active
Mini Wheels Co.,2,2,2,potential churners
"Royal Canadian Collectables, Ltd.",1,3,2,lost_customers
Marseille Mini Autos,3,2,2,potential churners
Petit Auto,4,2,2,active
Canadian Gift Exchange Network,2,2,2,potential churners
"Volvo Model Replicas, Co",2,1,2,lost_customers
Classic Legends Inc.,2,2,2,potential churners
giftsbymail.co.uk,2,3,2,NULL
Enaco Distributors,2,2,2,potential churners
Lyon Souveniers,4,2,2,active
"Norway Gifts By Mail, Co.",1,2,2,lost_customers
Super Scale Inc.,1,1,2,lost_customers
Mini Caravy,4,1,2,NULL
Collectables For Less Inc.,3,2,2,potential churners
Signal Gift Stores,3,3,2,active
Gifts4AllAges.com,4,2,2,active
Tekni Collectables Inc.,4,2,2,active
Motor Mint Distributors Inc.,2,2,2,potential churners
"Blauer See Auto, Co.",2,2,2,potential churners
Mini Classics,2,3,2,NULL
Collectable Mini Designs Co.,1,2,3,lost_customers
Vitachrome Inc.,2,2,3,potential churners
"Stylish Desk Decors, Co.",3,3,3,active
Auto Canal Petit,4,3,3,loyal
Cruz & Sons Co.,2,3,3,potential churners
Amica Models & Co.,1,3,3,"slipping away, cannot lose"
"La Corne D'abondance, Co.",2,2,3,potential churners
FunGiftIdeas.com,3,3,3,active
"Toms Spezialitten, Ltd",2,3,3,potential churners
Heintze Collectables,2,3,3,potential churners
Gift Depot Inc.,4,2,3,NULL
Marta's Replicas Co.,1,3,3,"slipping away, cannot lose"
"Oulu Toy Supplies, Inc.",3,3,3,active
Toys4GrownUps.com,3,3,3,active
Mini Creations Ltd.,3,4,3,"slipping away, cannot lose"
"Toys of Finland, Co.",3,3,3,active
Herkku Gifts,1,3,3,"slipping away, cannot lose"
Suominen Souveniers,3,3,3,active
Handji Gifts& Co,4,4,3,loyal
Baane Mini Imports,2,3,3,potential churners
"Vida Sport, Ltd",1,3,3,"slipping away, cannot lose"
"UK Collectables, Ltd.",4,3,3,loyal
"Tokyo Collectables, Ltd",4,3,3,loyal
"Corrida Auto Replicas, Ltd",2,3,4,NULL
Technics Stores Inc.,3,4,4,"slipping away, cannot lose"
Diecast Classics Inc.,4,3,4,loyal
Online Diecast Creations Co.,2,4,4,"slipping away, cannot lose"
Scandinavian Gift Ideas,3,4,4,"slipping away, cannot lose"
Reims Collectables,4,4,4,loyal
Rovelli Gifts,2,4,4,"slipping away, cannot lose"
L'ordine Souveniers,4,4,4,loyal
"Saveley & Henriot, Co.",1,4,4,"slipping away, cannot lose"
Danish Wholesale Imports,4,4,4,loyal
Salzburg Collectables,4,4,4,loyal
Corporate Gift Ideas Co.,3,4,4,"slipping away, cannot lose"
Souveniers And Things Co.,4,4,4,loyal
"Anna's Decorations, Ltd",3,4,4,"slipping away, cannot lose"
"AV Stores, Co.",2,4,4,"slipping away, cannot lose"
The Sharp Gifts Warehouse,4,4,4,loyal
Land of Toys Inc.,2,4,4,"slipping away, cannot lose"
"Dragon Souveniers, Ltd.",3,4,4,"slipping away, cannot lose"
La Rochelle Gifts,4,4,4,loyal
Muscle Machine Inc,3,4,4,"slipping away, cannot lose"
"Australian Collectors, Co.",3,4,4,"slipping away, cannot lose"
Mini Gifts Distributors Ltd.,4,4,4,loyal
Euro Shopping Channel,4,4,4,loyal
